Date,Humidity_High,Humidity_Avg,Humidity_Low,Region,Mean Temperature (°C),Maximum Temperature (°C),Lowest Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
1/6/2023,98,88,77,North,27,29.4,23,7.7,48.9
2/6/2023,91,79,57,North,29.4,34.5,26.1,5.7,23
3/6/2023,95,87,72,North,29.3,33,26,5.6,40
4/6/2023,96,92,81,North,26.9,31.3,24.4,6.3,30.6
5/6/2023,94,79,55,North,29.2,33.5,25.6,5.8,23.3
6/6/2023,90,84,73,North,28.2,31.2,25.2,5.7,26.7
7/6/2023,93,84,71,North,28.5,31.8,25.4,6.4,44.6
8/6/2023,93,81,62,North,29.2,33,26.1,6.6,27.4
9/6/2023,91,80,57,North,29.5,33.9,26.3,6.4,23
10/6/2023,93,81,60,North,29.7,33.9,26.5,6.9,30.6
11/6/2023,90,79,60,North,29.8,33.5,26.9,7.7,29.1
12/6/2023,97,87,72,North,27.6,30.9,23.3,6.6,35
13/6/2023,93,84,63,North,28.8,33.3,25.7,6,30.9
14/6/2023,96,86,65,North,28.2,31.2,26.3,5.5,28.2
15/6/2023,96,85,66,North,28.7,33.7,25.3,5.6,22.6
16/6/2023,93,78,56,North,30.2,33.9,27.6,6.2,23.7
17/6/2023,91,80,61,North,30,33.8,27.8,5.7,24.4
18/6/2023,92,84,69,North,27.7,31.9,24,5.9,39.6
19/6/2023,94,85,63,North,28.4,34.2,26.3,7.3,32
20/6/2023,96,86,67,North,29.3,33.5,27.5,7,25.6
21/6/2023,92,79,57,North,30,33.5,27.9,8.1,30.6
22/6/2023,93,80,63,North,29.8,33.5,27.4,8.8,26.7
23/6/2023,95,86,65,North,28.9,33.4,27.2,7.2,26.7
24/6/2023,94,87,69,North,27.9,31.6,24.6,6.7,45.7
25/6/2023,93,81,61,North,28.8,32.4,26.2,6.8,31.3
26/6/2023,98,84,65,North,27.5,30.7,23.3,8.4,42.4
27/6/2023,98,86,65,North,28.1,31.7,24.5,6.8,30.2
28/6/2023,92,83,61,North,28.1,31.1,24.9,6.5,28.9
29/6/2023,98,82,59,North,28.9,32.9,24.9,6.3,33.5
30/6/2023,95,86,72,North,28,31.1,23.7,5.4,41.1
1/7/2023,97,83,62,North,27.7,32.3,23.6,9.2,49.6
2/7/2023,93,79,57,North,29.5,33,27.3,6,21.3
3/7/2023,92,85,71,North,28.5,31.4,26.9,7.1,25.6
4/7/2023,95,81,57,North,29.4,33.1,26.6,8.6,34.3
5/7/2023,93,82,57,North,28.5,34.3,25.2,6.8,35
6/7/2023,94,86,75,North,26.9,29,25,6,20.6
7/7/2023,95,86,62,North,27.8,32.4,26.2,5.5,40.7
8/7/2023,95,84,64,North,28.6,32.2,25.9,6.4,27
9/7/2023,95,88,74,North,27.6,31.7,24.5,5,45.4
10/7/2023,96,85,62,North,27.7,31.7,25.4,6.1,28.9
11/7/2023,95,89,83,North,25.8,27.6,24.9,6.1,29.4
12/7/2023,96,89,68,North,27.3,30.8,25.1,4.2,24.4
13/7/2023,96,80,54,North,29.2,33.8,25.3,5.2,22
14/7/2023,98,93,84,North,26,28.7,23.6,6.4,32
15/7/2023,97,84,58,North,27.9,31.9,24.9,6.7,30.2
16/7/2023,92,80,61,North,29.5,32.8,27.3,6.9,29.4
17/7/2023,97,85,72,North,28.3,31.5,24.1,7.3,33.9
18/7/2023,93,87,73,North,27.6,31.3,25.1,6,26.7
19/7/2023,94,88,76,North,27.3,29.5,25,5.3,26.7
20/7/2023,99,96,86,North,25.5,27.5,21.8,5.9,51.5
21/7/2023,99,86,60,North,28.6,32.5,25.7,6.9,25.6
22/7/2023,94,81,62,North,29.2,32.3,26.9,7.2,30.6
23/7/2023,90,82,69,North,28.6,31.2,27.2,6.6,33.5
24/7/2023,90,76,46,North,29.1,34,26.2,7,32
25/7/2023,89,75,48,North,29.9,34.1,27.3,7.6,27
26/7/2023,87,77,60,North,29.8,33.5,27.7,7.6,33.2
27/7/2023,88,81,64,North,29.9,33.2,28,7.6,33.2
28/7/2023,88,77,58,North,29.7,32.7,27.7,7.4,29.1
29/7/2023,86,75,58,North,29.6,33.3,27.8,9.4,33.9
30/7/2023,83,71,49,North,29.5,33.1,26.9,9.7,36.7
31/7/2023,84,70,49,North,29.2,32.9,27.2,9.8,30.9
1/8/2023,85,71,45,North,29.2,33.1,27.2,7.1,27
2/8/2023,86,72,52,North,29.8,33.2,27.9,8.2,32.8
3/8/2023,92,85,70,North,26,28.8,22.5,6.2,34.3
4/8/2023,93,80,52,North,28.7,33.8,25.1,7.8,34.6
5/8/2023,94,78,55,North,29.8,33.9,27.6,8.9,32.4
6/8/2023,89,70,44,North,30,34.4,26.9,6.6,30.9
7/8/2023,89,73,46,North,29.8,33.9,26.5,6.7,31.3
8/8/2023,96,80,58,North,28.8,32.3,26.8,7.9,40.7
9/8/2023,89,75,45,North,29.2,33.2,25.7,8.5,38.5
10/8/2023,85,73,50,North,29.5,33.2,27.5,6.9,27.8
11/8/2023,97,77,50,North,28.5,32,25.2,6.8,36.3
12/8/2023,87,77,61,North,29.2,32.4,27.4,7.7,31.7
13/8/2023,85,76,57,North,28.7,31.6,26.6,8.7,30.2
14/8/2023,98,87,58,North,27,31.6,23.6,7.6,47.2
15/8/2023,99,99,98,North,27.4,32.9,24.2,4.8,39.3
16/8/2023,99,91,70,North,27.4,32.5,25.6,6.2,35.2
17/8/2023,96,89,67,North,27.1,32.3,25.2,5.9,32
18/8/2023,93,89,83,North,26.5,27.5,25.3,5.1,27.8
19/8/2023,97,92,80,North,26.6,29.9,24.6,4.8,32
20/8/2023,96,84,60,North,28.4,31.9,26.1,7,35
21/8/2023,97,89,73,North,26.4,28.6,23.3,6.6,38.9
22/8/2023,96,80,49,North,28.7,33.5,24.9,7.6,30.2
23/8/2023,91,76,53,North,29.5,33.4,26.6,7.2,30.2
24/8/2023,94,82,64,North,28.9,33.9,26.8,6.8,31.3
25/8/2023,94,83,66,North,28.1,31.7,24,6.2,32
26/8/2023,94,87,68,North,27.6,32,25.6,5.5,32.4
27/8/2023,94,83,66,North,28.4,33.2,24.8,5.1,23.7
28/8/2023,94,85,63,North,28.2,32.3,26.4,6.5,33.2
29/8/2023,91,84,71,North,28.4,30.9,27,6.8,37.4
30/8/2023,90,79,61,North,28.6,31.9,25.2,6.6,31.7
31/8/2023,89,78,62,North,29.1,32.1,27.1,7.7,31.3
1/6/2023,99,95,85,South,27,29.5,24.3,6.5,39.6
2/6/2023,97,86,67,South,29.4,32.9,26.3,5.4,20.9
3/6/2023,99,93,70,South,29,32.7,23.5,4.8,33.2
4/6/2023,99,95,80,South,27.8,31.7,24.5,5.1,106.9
5/6/2023,99,85,55,South,28.9,32,26.2,5.5,18.3
6/6/2023,99,92,79,South,28.3,30,26.3,4.4,22.6
7/6/2023,99,91,75,South,28.9,31.8,27.4,5.8,25.2
8/6/2023,98,88,69,South,29.6,32.7,27.4,5.8,25.9
9/6/2023,96,87,66,South,29.6,33.3,27.9,5.8,20.2
10/6/2023,98,88,63,South,29.7,33.3,27.7,6.1,26.3
11/6/2023,97,87,69,South,29.8,34.1,28,6.2,22.6
12/6/2023,99,94,86,South,27.3,29.8,23.8,4.8,29.1
13/6/2023,99,91,76,South,28.9,32.8,26.1,6.1,24.1
14/6/2023,98,93,81,South,28.1,30.6,24.5,4.9,27.8
15/6/2023,99,91,74,South,28.9,31.7,26.9,4.7,18
16/6/2023,99,88,56,South,29.8,33,27.5,5.8,20.6
17/6/2023,99,88,71,South,29.9,33,28.1,5.6,17.6
18/6/2023,99,90,75,South,28.5,32.2,22.4,3.7,47.2
19/6/2023,97,87,68,South,29.3,33.3,26.8,5,24.4
20/6/2023,98,90,74,South,29.3,32.8,27.8,5.8,21.7
21/6/2023,98,88,69,South,29.5,32.3,26.7,6.1,29.4
22/6/2023,96,88,71,South,29.6,34,25.1,6,33.5
23/6/2023,96,87,67,South,29.9,33.5,28.1,5.9,24.1
24/6/2023,99,90,74,South,28.5,31.7,25.2,4.1,23.7
25/6/2023,97,86,70,South,28.8,32.7,25.3,4.6,22.4
26/6/2023,99,89,78,South,28.5,31.6,25.6,5.6,26.3
27/6/2023,99,91,80,South,28.4,30.1,25.2,5.4,20.9
28/6/2023,99,91,77,South,27.9,31,24,5.3,19.4
29/6/2023,99,89,73,South,29.1,32.8,27.4,5.6,24.4
30/6/2023,99,93,83,South,28.2,30.8,25.1,4.6,25.6
1/7/2023,99,91,72,South,27.8,30.8,25,7.9,35
2/7/2023,98,88,73,South,29.1,32,27.4,5.2,18
3/7/2023,99,93,73,South,28.8,32.7,27.6,5.3,30.2
4/7/2023,99,87,59,South,29.7,34.9,28,6.5,32
5/7/2023,99,92,77,South,27.9,31.7,23.5,5.5,45.4
6/7/2023,99,88,65,South,27.6,30.7,25.9,3.6,18
7/7/2023,96,89,76,South,28.4,32.5,26.2,4.6,25.2
8/7/2023,97,88,72,South,29.1,32.6,26.6,6.2,29.1
9/7/2023,99,93,76,South,27.6,32.8,24.3,4.2,44.6
10/7/2023,99,93,75,South,27.5,30.1,25.4,4.6,35.6
11/7/2023,99,98,85,South,25.7,28.3,24.3,4.7,30.2
12/7/2023,99,91,73,South,28.3,31.5,25.2,5.4,19.8
13/7/2023,99,86,68,South,29.3,32.7,27,4.7,17.6
14/7/2023,99,95,75,South,26.5,28.6,23.7,4.8,30.9
15/7/2023,99,91,79,South,28,30.2,25.5,5,22.4
16/7/2023,99,87,69,South,29.5,32.4,27.1,5.9,22.6
17/7/2023,98,93,79,South,28.4,31.7,26.8,5.3,26.7
18/7/2023,99,95,86,South,27.3,29.4,23.7,4.2,35.9
19/7/2023,99,97,90,South,27.1,28.7,23.7,4.2,50
20/7/2023,99,98,90,South,26.6,28.7,23.2,5.5,27.8
21/7/2023,99,93,77,South,28.7,32.1,27.2,7.8,24.1
22/7/2023,99,91,71,South,29.1,31.9,27.4,6.4,29.4
23/7/2023,99,91,80,South,28.4,30.7,25.5,5.2,33.2
24/7/2023,99,86,58,South,28.9,32.2,26.1,7.6,23.3
25/7/2023,98,86,66,South,29.6,32.9,27.8,6.6,22.4
26/7/2023,99,90,71,South,29.6,33.2,27.7,6.2,25.6
27/7/2023,99,90,72,South,29.6,33.3,27.9,6.5,26.3
28/7/2023,99,90,75,South,29.6,32.5,27.8,6.9,24.4
29/7/2023,98,87,69,South,29.6,32.7,27.9,8.6,25.6
30/7/2023,94,84,65,South,29.4,32.4,27.7,8.7,33.2
31/7/2023,92,85,72,South,28.8,31.7,27.7,8.1,29.1
1/8/2023,95,87,70,South,29.3,32.4,27.5,6.8,20.2
2/8/2023,99,88,68,South,29.6,33.4,28.3,7.7,27.8
3/8/2023,99,96,76,South,26.3,28.6,23.5,4.9,47.8
4/8/2023,99,90,71,South,28.7,32.5,26,6.1,30.2
5/8/2023,99,89,70,South,29.4,33.3,27.4,7.1,24.8
6/8/2023,97,85,60,South,29.4,33.2,26.4,5.1,20.9
7/8/2023,97,87,70,South,29.3,32.4,27.4,6.5,25.9
8/8/2023,98,92,76,South,28.7,33.3,27.4,6.5,28.5
9/8/2023,97,88,67,South,29.1,32.7,27.2,6.8,29.1
10/8/2023,97,87,67,South,29.3,32.6,27.8,7.4,25.2
11/8/2023,97,87,67,South,29,33,25.1,6.1,30.9
12/8/2023,95,86,67,South,29.4,33.3,27.1,7.1,24.8
13/8/2023,96,90,79,South,29,32,27.6,7.1,29.1
14/8/2023,99,92,70,South,27.6,32.9,24.4,7.4,35.2
15/8/2023,99,90,74,South,28.3,32,25.7,5.3,19.1
16/8/2023,97,91,74,South,28.4,32.9,24.7,5.9,42.8
17/8/2023,98,92,77,South,28.8,31.9,27.4,5.3,21.3
18/8/2023,99,95,88,South,27,28.7,24.1,4.5,29.4
19/8/2023,99,96,86,South,27.4,30.7,25,4.6,27.4
20/8/2023,99,90,74,South,28.8,31.7,26.9,6.7,31.3
21/8/2023,99,96,85,South,27.1,29.2,24.4,5.3,48.5
22/8/2023,99,86,62,South,29.1,32.6,26.6,7.3,27.4
23/8/2023,96,86,65,South,29.3,32.7,27.1,7.1,23
24/8/2023,98,88,68,South,28.9,33,27.2,5.9,31.3
25/8/2023,99,93,76,South,28.1,31.5,25.3,5.1,35.6
26/8/2023,98,92,79,South,27.8,31,26.8,4.2,26.7
27/8/2023,99,90,69,South,28.6,32,26.2,5.5,25.2
28/8/2023,99,92,78,South,28.4,31.4,26.8,6,30.6
29/8/2023,99,90,72,South,28.6,31.4,27.3,7,28.5
30/8/2023,99,89,73,South,28.4,31.3,25.6,5.5,45.4
31/8/2023,97,88,69,South,29.1,32.4,27.2,7.3,27.8
1/6/2023,91,87,84,Central,27,29.9,23.9,6.1,39.3
2/6/2023,89,82,71,Central,29.3,33.6,25.9,4.7,25.6
3/6/2023,91,86,77,Central,29,31.9,25.4,4.6,31.3
4/6/2023,94,91,83,Central,26.9,30.2,24.5,4.1,32.8
5/6/2023,93,80,63,Central,29.2,33.4,25.4,4.6,23.3
6/6/2023,89,86,78,Central,28.5,31.2,26,5,26.7
7/6/2023,90,84,77,Central,29.1,31.6,27.7,5.4,32
8/6/2023,91,83,74,Central,29.6,33,26.6,5.6,30.2
9/6/2023,89,81,67,Central,30,33.7,28,6.1,30.2
10/6/2023,88,82,70,Central,29.9,33.6,28.3,7,30.6
11/6/2023,87,81,70,Central,30,32.9,28.1,7,28.5
12/6/2023,92,87,81,Central,27.5,29.8,23.8,5.4,32
13/6/2023,92,86,75,Central,29.1,32.6,26,5.2,26.7
14/6/2023,90,85,79,Central,28.5,31.7,26.6,4.9,22
15/6/2023,90,85,74,Central,29.1,32.7,26.1,4.8,22.6
16/6/2023,90,80,69,Central,30.6,34.5,27.5,2.7,14
17/6/2023,88,82,69,Central,30.5,34.6,28.4,2.9,17.2
18/6/2023,90,86,79,Central,28,32.3,29.5,1.5,19.8
19/6/2023,90,84,66,Central,28.8,34.7,26.1,1.7,14.8
20/6/2023,90,83,71,Central,29.7,34.7,27.4,6.7,30.6
21/6/2023,88,81,71,Central,30.1,33,28.1,8,30.9
22/6/2023,88,80,70,Central,30.1,33.4,27.9,7.6,33.2
23/6/2023,86,82,72,Central,29.2,33.2,27.2,5.5,25.6
24/6/2023,89,84,74,Central,28,32.5,24.4,4.6,35.6
25/6/2023,90,82,68,Central,29.2,32.8,26.4,5,26.3
26/6/2023,91,84,74,Central,28.1,30.9,24.1,6,30.9
27/6/2023,93,87,77,Central,27.9,31.5,23.7,5,24.1
28/6/2023,92,86,78,Central,28.1,31.4,24.7,5.4,34.6
29/6/2023,91,85,73,Central,29,33,24.6,5.3,28.5
30/6/2023,92,87,82,Central,28.3,30.7,24.9,4.7,27
1/7/2023,91,85,73,Central,27.9,31.5,24.4,6.9,35.9
2/7/2023,88,82,71,Central,29.6,33.7,27.8,5.8,23.7
3/7/2023,92,86,73,Central,28.5,32.5,23.5,6.1,39.3
4/7/2023,93,83,67,Central,29.6,33.4,27.1,7.1,30.6
5/7/2023,90,85,67,Central,28.6,34,25.7,5.4,33.2
6/7/2023,91,86,73,Central,27.2,29.4,25.5,4.1,17.6
7/7/2023,90,85,75,Central,27.7,32.8,25.3,4.2,25.9
8/7/2023,91,84,75,Central,28.7,32.2,25.6,6,29.1
9/7/2023,91,86,70,Central,28,32.6,25.6,4.6,36.7
